Año,Kilometraje,Marca,Modelo,Ha_tenido_accidentes,Precio_venta
2018,255787,Volkswagen,Tiguan,0,17.96
2012,244515,Volkswagen,Jetta,1,9.34
2019,171909,Kia,Sportage,0,25.62
2010,40669,Kia,Cerato,0,19.76
2019,145548,Ford,Focus,0,26.46
2022,25460,Honda,CR-V,0,37.32
2019,8675,Ford,Ranger,0,33.32
2024,102259,Hyundai,i20,0,34.03
2012,149966,Kia,Cerato,0,15.3
2017,20839,Hyundai,i20,0,28.97
2017,176638,Volkswagen,Polo,0,21.14
2012,242299,Ford,Escape,0,11.73
2010,201465,Hyundai,i20,0,9.24
2010,195098,Nissan,Frontier,0,10.15
2013,109647,Mazda,Mazda2,0,20.51
2015,69907,Kia,Cerato,0,24.74
2018,215009,Chevrolet,Spark,0,20.44
2014,246734,Hyundai,i20,0,14.07
2021,129895,Nissan,Kicks,1,25.02
2017,154989,Chevrolet,Onix,0,22.15
2024,62320,Mazda,BT-50,0,37.36
2023,201062,Mazda,Mazda2,0,28.58
2009,256063,Chevrolet,Cruze,0,6.29
2019,256803,Kia,Rio,0,21.12
2019,100456,Volkswagen,Polo,0,29.45
2022,97196,Chevrolet,Cruze,0,31.71
2015,250993,Honda,Civic,0,15.28
2023,120800,Ford,Ranger,0,31.97
2023,7171,Volkswagen,Tiguan,0,38.06
2019,201126,Toyota,RAV4,0,21.94
2009,33573,Honda,Civic,0,18.81
2009,123370,Chevrolet,Spark,0,13.73
2021,212128,Chevrolet,Spark,0,26.33
2015,259431,Volkswagen,Gol,0,13.79
2021,243320,Hyundai,Accent,1,21.36
2010,168216,Hyundai,i20,0,11.63
2019,37358,Hyundai,i20,0,31.02
2023,36672,Mazda,CX-5,0,36.25
2015,130568,Kia,Sportage,0,20.44
2011,118266,Ford,Escape,0,17.13
2013,47114,Volkswagen,Polo,0,23.77
2022,21262,Mazda,CX-5,0,35.89
2022,147463,Ford,Focus,0,30.66
2018,250067,Volkswagen,Polo,0,18.44
2009,170584,Chevrolet,Cruze,0,10.6
2021,67910,Kia,Rio,0,33.86
2019,241749,Honda,CR-V,0,20.45
2018,104510,Ford,Escape,0,27.71
2022,31285,Volkswagen,Polo,0,36.77
2015,59897,Nissan,Sentra,0,24.53
2017,251698,Kia,Picanto,1,15.22
2009,13223,Chevrolet,Cruze,0,19.1
2021,114931,Hyundai,Accent,0,30.81
2022,59830,Mazda,Mazda3,0,35.5
2021,22702,Chevrolet,Onix,0,34.48
2024,197368,Volkswagen,Polo,0,30.56
2022,205322,Ford,Focus,0,27.44
2019,227319,Kia,Picanto,0,22.34
2015,228867,Hyundai,Accent,0,14.78
2024,30074,Honda,Fit,0,38.26
2024,37797,Toyota,Hilux,0,38.03
2018,119633,Toyota,Corolla,1,23.75
2021,139624,Nissan,Kicks,0,29.2
2011,188574,Toyota,Hilux,1,10.48
2015,205196,Hyundai,Accent,0,16.1
2023,90315,Hyundai,Accent,0,35.63
2009,161528,Hyundai,Elantra,0,10.17
2021,34193,Volkswagen,Polo,0,35.7
2012,181344,Toyota,RAV4,0,13.4
2010,181830,Chevrolet,Tracker,0,10.87
2013,128792,Honda,Civic,0,19.12
2019,148855,Nissan,Kicks,1,21.69
2012,233633,Toyota,RAV4,0,12.11
2024,28415,Mazda,Mazda2,0,39.03
2011,181537,Honda,Accord,0,11.74
2018,200217,Ford,Focus,0,20.67
2024,138904,Kia,Rio,0,34.0
2021,161890,Nissan,Sentra,0,28.44
2019,127442,Hyundai,Elantra,0,27.94
2023,58573,Honda,Accord,0,35.79
2015,255792,Kia,Rio,0,13.35
2020,221438,Toyota,Hilux,0,23.84
2009,168858,Volkswagen,Gol,0,11.33
2020,157590,Hyundai,Elantra,0,26.27
2023,245992,Chevrolet,Cruze,0,25.36
2013,192370,Ford,Ranger,0,15.28
2021,102432,Toyota,Yaris,0,30.77
2015,40885,Nissan,Sentra,0,26.1
2013,128795,Mazda,CX-5,0,18.23
2023,127051,Hyundai,Tucson,1,27.66
2018,30786,Mazda,Mazda3,0,31.12
2023,72399,Nissan,Kicks,0,34.21
2015,59886,Nissan,Sentra,1,21.52
2020,204794,Toyota,Yaris,0,23.52
2009,132043,Ford,Focus,0,11.53
2022,91866,Mazda,BT-50,0,32.88
2011,20650,Toyota,Corolla,0,20.8
2013,219941,Kia,Rio,0,14.36
2019,132130,Ford,Escape,0,26.55
2015,48282,Nissan,Frontier,0,25.28
2018,169784,Nissan,Frontier,1,21.12
2013,257510,Volkswagen,Jetta,0,10.54
2011,99019,Nissan,Versa,0,17.19
2014,133494,Honda,CR-V,0,19.51
2024,255777,Ford,Ranger,0,26.48
2016,216322,Kia,Rio,0,18.79
2022,156467,Volkswagen,Gol,0,29.02
2019,121846,Nissan,Sentra,0,26.76
2011,257111,Nissan,Kicks,0,8.81
